"DATE","variable","value"
"9/25/17","time00:00",2.15
"9/25/17","time01:00",2.47
"9/25/17","time02:00",2.47
"9/25/17","time03:00",2.3
"9/25/17","time04:00",2.32
"9/25/17","time05:00",2.47
"9/25/17","time06:00",3.2
"9/25/17","time07:00",7.75
"9/25/17","time08:00",17.36
"9/25/17","time09:00",18.32
"9/25/17","time10:00",24.26
"9/25/17","time11:00",33.93
"9/25/17","time12:00",36.92
"9/25/17","time13:00",46.86
"9/25/17","time14:00",48.58
"9/25/17","time15:00",50.47
"9/25/17","time16:00",33.33
"9/25/17","time17:00",12.52
"9/25/17","time18:00",6.97
"9/25/17","time19:00",5
"9/25/17","time20:00",3.35
"9/25/17","time21:00",2.45
"9/25/17","time22:00",2.32
"9/25/17","time23:00",2.47
"9/26/17","time00:00",2.47
"9/26/17","time01:00",2.32
"9/26/17","time02:00",2.45
"9/26/17","time03:00",2.32
"9/26/17","time04:00",2.45
"9/26/17","time05:00",4.12
"9/26/17","time06:00",10.35
"9/26/17","time07:00",8.03
"9/26/17","time08:00",13.28
"9/26/17","time09:00",25.2
"9/26/17","time10:00",34.55
"9/26/17","time11:00",44.72
"9/26/17","time12:00",49.78
"9/26/17","time13:00",56.69
"9/26/17","time14:00",58.93
"9/26/17","time15:00",59.57
"9/26/17","time16:00",43.23
"9/26/17","time17:00",22.34
"9/26/17","time18:00",14.32
"9/26/17","time19:00",11.32
"9/26/17","time20:00",3.05
"9/26/17","time21:00",3.05
"9/26/17","time22:00",2.47
"9/26/17","time23:00",2.3
"9/27/17","time00:00",2.32
"9/27/17","time01:00",2.47
"9/27/17","time02:00",2.15
"9/27/17","time03:00",2.62
"9/27/17","time04:00",2.45
"9/27/17","time05:00",4.03
"9/27/17","time06:00",8.85
"9/27/17","time07:00",7.54
"9/27/17","time08:00",13.78
"9/27/17","time09:00",23.87
"9/27/17","time10:00",32.73
"9/27/17","time11:00",43.74
"9/27/17","time12:00",47.33
"9/27/17","time13:00",52.8
"9/27/17","time14:00",55.89
"9/27/17","time15:00",60.09
"9/27/17","time16:00",46.47
"9/27/17","time17:00",16.12
"9/27/17","time18:00",8.6
"9/27/17","time19:00",3.82
"9/27/17","time20:00",3.07
"9/27/17","time21:00",2.75
"9/27/17","time22:00",2.3
"9/27/17","time23:00",2.15
"9/28/17","time00:00",2.6
"9/28/17","time01:00",2.47
"9/28/17","time02:00",2.3
"9/28/17","time03:00",2.32
"9/28/17","time04:00",2.32
"9/28/17","time05:00",4.61
"9/28/17","time06:00",11.01
"9/28/17","time07:00",8.21
"9/28/17","time08:00",17.99
"9/28/17","time09:00",26.02
"9/28/17","time10:00",33.94
"9/28/17","time11:00",44.49
"9/28/17","time12:00",48.29
"9/28/17","time13:00",53.72
"9/28/17","time14:00",57.13
"9/28/17","time15:00",58.26
"9/28/17","time16:00",39.53
"9/28/17","time17:00",14.02
"9/28/17","time18:00",7.4
"9/28/17","time19:00",3.65
"9/28/17","time20:00",2.77
"9/28/17","time21:00",2.6
"9/28/17","time22:00",2.45
"9/28/17","time23:00",2.17
"9/29/17","time00:00",2.32
"9/29/17","time01:00",2.32
"9/29/17","time02:00",2.32
"9/29/17","time03:00",2.45
"9/29/17","time04:00",2.32
"9/29/17","time05:00",4.77
"9/29/17","time06:00",13.55
"9/29/17","time07:00",9.04
"9/29/17","time08:00",16.99
"9/29/17","time09:00",29.35
"9/29/17","time10:00",35.91
"9/29/17","time11:00",45.84
"9/29/17","time12:00",46.77
"9/29/17","time13:00",51.21
"9/29/17","time14:00",52.39
"9/29/17","time15:00",55.53
"9/29/17","time16:00",42.84
"9/29/17","time17:00",17.59
"9/29/17","time18:00",15.06
"9/29/17","time19:00",11.77
"9/29/17","time20:00",9.06
"9/29/17","time21:00",5.54
"9/29/17","time22:00",2.3
"9/29/17","time23:00",2.45
"9/30/17","time00:00",2.47
"9/30/17","time01:00",2.3
"9/30/17","time02:00",2.17
"9/30/17","time03:00",2.32
"9/30/17","time04:00",2.3
"9/30/17","time05:00",2.32
"9/30/17","time06:00",2.62
"9/30/17","time07:00",2
"9/30/17","time08:00",2.02
"9/30/17","time09:00",2
"9/30/17","time10:00",2.17
"9/30/17","time11:00",2.02
"9/30/17","time12:00",2.32
"9/30/17","time13:00",2.75
"9/30/17","time14:00",2.9
"9/30/17","time15:00",3.37
"9/30/17","time16:00",3.37
"9/30/17","time17:00",3.39
"9/30/17","time18:00",3.07
"9/30/17","time19:00",2.9
"9/30/17","time20:00",2.62
"9/30/17","time21:00",2.45
"9/30/17","time22:00",2.32
"9/30/17","time23:00",2.3
"10/1/17","time00:00",2.32
"10/1/17","time01:00",2.32
"10/1/17","time02:00",2.3
"10/1/17","time03:00",2.32
"10/1/17","time04:00",3.86
"10/1/17","time05:00",7.2
"10/1/17","time06:00",5.32
"10/1/17","time07:00",4.96
