"Day","Season","Time","mean_kWh"
"Saturday","Spring","17:00",0.000321104181623932
"Saturday","Summer","17:00",0.000420917020219541
"Saturday","Winter","17:00",0.000243708509946372
"Sunday","Fall","17:00",0.000329734385021787
"Sunday","Spring","17:00",0.000342423389990783
"Sunday","Summer","17:00",0.000340313099899447
"Sunday","Winter","17:00",0.000287373292149082
"Thursday","Fall","17:00",0.000862219423286409
"Thursday","Spring","17:00",0.000905280316406905
"Thursday","Summer","17:00",0.000950033287749288
"Thursday","Winter","17:00",0.000827608878540305
"Tuesday","Fall","17:00",0.000883281467670402
"Tuesday","Spring","17:00",0.000913485239651416
"Tuesday","Summer","17:00",0.000965425141989274
"Tuesday","Winter","17:00",0.000829514623009888
"Wednesday","Fall","17:00",0.000869212098793363
"Wednesday","Spring","17:00",0.00089799267860734
"Wednesday","Summer","17:00",0.000968686262275851
"Wednesday","Winter","17:00",0.000831808000167588
"Friday","Fall","18:00",0.000711719125230434
"Friday","Spring","18:00",0.000697497358010726
"Friday","Summer","18:00",0.000735840975783476
"Friday","Winter","18:00",0.000638287570764203
"Monday","Fall","18:00",0.000723127826420312
"Monday","Spring","18:00",0.000714298249727669
"Monday","Summer","18:00",0.000754852248988484
"Monday","Winter","18:00",0.000638810055178482
"Saturday","Fall","18:00",0.000396181870265628
"Saturday","Spring","18:00",0.000306710428879672
"Saturday","Summer","18:00",0.00041257078728004
"Saturday","Winter","18:00",0.000230684328163231
"Sunday","Fall","18:00",0.00038066284233702
"Sunday","Spring","18:00",0.000321659627622758
"Sunday","Summer","18:00",0.000410001676935646
"Sunday","Winter","18:00",0.000264936616106443
"Thursday","Fall","18:00",0.000692441620412267
"Thursday","Spring","18:00",0.000685352764370706
"Thursday","Summer","18:00",0.000752507620789341
"Thursday","Winter","18:00",0.000636634106167253
"Tuesday","Fall","18:00",0.000701697666394335
"Tuesday","Spring","18:00",0.000704286553966957
"Tuesday","Summer","18:00",0.000769697543154014
"Tuesday","Winter","18:00",0.000636085856334842
"Wednesday","Fall","18:00",0.000700170387757667
"Wednesday","Spring","18:00",0.000688798944863415
"Wednesday","Summer","18:00",0.000778586162016089
"Wednesday","Winter","18:00",0.000640264717110776
"Friday","Fall","19:00",0.0006869616965393
"Friday","Spring","19:00",0.000677555103443942
"Friday","Summer","19:00",0.000723578911764706
"Friday","Winter","19:00",0.00063666043987766
"Monday","Fall","19:00",0.00069323333915703
"Monday","Spring","19:00",0.000684669334195715
"Monday","Summer","19:00",0.000736045054971989
"Monday","Winter","19:00",0.000638147647142618
