"DATE","Site.Conditioned.Area..Square.Feet..SF.","variable","value"
"9/11/17",50096,"time14:00",0.00128393484509741
"9/11/17",50096,"time15:00",0.00127754710954966
"9/11/17",50096,"time16:00",0.000974129671031619
"9/11/17",50096,"time17:00",0.000846374960076653
"9/11/17",50096,"time18:00",0.000868732034493772
"9/11/17",50096,"time19:00",0.000801660811242415
"9/11/17",50096,"time20:00",0.000290641967422549
"9/11/17",50096,"time21:00",0.00015330565314596
"9/11/17",50096,"time22:00",9.58160332162248e-05
"9/11/17",50096,"time23:00",7.02650910252316e-05
"9/12/17",50096,"time00:00",7.66528265729799e-05
"9/12/17",50096,"time01:00",7.66528265729799e-05
"9/12/17",50096,"time02:00",7.9846694346854e-05
"9/12/17",50096,"time03:00",7.02650910252316e-05
"9/12/17",50096,"time04:00",8.30405621207282e-05
"9/12/17",50096,"time05:00",7.02650910252316e-05
"9/12/17",50096,"time06:00",0.000271478760779304
"9/12/17",50096,"time07:00",0.000338549984030661
"9/12/17",50096,"time08:00",0.000999680613222613
"9/12/17",50096,"time09:00",0.000571702331523475
"9/12/17",50096,"time10:00",0.000622804215905462
"9/12/17",50096,"time11:00",0.000891089108910891
"9/12/17",50096,"time12:00",0.00108910891089109
"9/12/17",50096,"time13:00",0.00134461833280102
"9/12/17",50096,"time14:00",0.00125838390290642
"9/12/17",50096,"time15:00",0.00126477163845417
"9/12/17",50096,"time16:00",0.00114340466304695
"9/12/17",50096,"time17:00",0.00103481315873523
"9/12/17",50096,"time18:00",0.00051421271159374
"9/12/17",50096,"time19:00",0.000162887256467582
"9/12/17",50096,"time20:00",0.000213989140849569
"9/12/17",50096,"time21:00",0.000162887256467582
"9/12/17",50096,"time22:00",0.00011497923985947
"9/12/17",50096,"time23:00",8.62344298946024e-05
"9/13/17",50096,"time00:00",9.58160332162248e-05
"9/13/17",50096,"time01:00",8.62344298946024e-05
"9/13/17",50096,"time02:00",8.30405621207282e-05
"9/13/17",50096,"time03:00",9.9009900990099e-05
"9/13/17",50096,"time04:00",8.62344298946024e-05
"9/13/17",50096,"time05:00",8.30405621207282e-05
"9/13/17",50096,"time06:00",0.0002842542318748
"9/13/17",50096,"time07:00",0.000367294793995529
"9/13/17",50096,"time08:00",0.000447141488342383
"9/13/17",50096,"time09:00",0.000680293835835196
"9/13/17",50096,"time10:00",0.000740977323538805
"9/13/17",50096,"time11:00",0.00101884381986586
"9/13/17",50096,"time12:00",0.000999680613222613
"9/13/17",50096,"time13:00",0.00121047588629831
"9/13/17",50096,"time14:00",0.00120728201852443
"9/13/17",50096,"time15:00",0.00102842542318748
"9/13/17",50096,"time16:00",0.00100606834877036
"9/13/17",50096,"time17:00",0.000769722133503673
"9/13/17",50096,"time18:00",0.000459916959437879
"9/13/17",50096,"time19:00",0.000249121686362185
"9/13/17",50096,"time20:00",0.000217183008623443
"9/13/17",50096,"time21:00",0.000156499520919834
"9/13/17",50096,"time22:00",0.000118173107633344
"9/13/17",50096,"time23:00",8.62344298946024e-05
"9/14/17",50096,"time00:00",9.58160332162248e-05
"9/14/17",50096,"time01:00",8.30405621207282e-05
"9/14/17",50096,"time02:00",8.94282976684765e-05
"9/14/17",50096,"time03:00",8.62344298946024e-05
"9/14/17",50096,"time04:00",8.30405621207282e-05
"9/14/17",50096,"time05:00",9.26221654423507e-05
"9/14/17",50096,"time06:00",0.000226764611945065
"9/14/17",50096,"time07:00",0.000316192909613542
"9/14/17",50096,"time08:00",0.000319386777387416
"9/14/17",50096,"time09:00",0.000303417438518045
"9/14/17",50096,"time10:00",0.000300223570744171
"9/14/17",50096,"time11:00",0.000546151389332482
"9/14/17",50096,"time12:00",0.000715426381347812
"9/14/17",50096,"time13:00",0.00091344618332801
"9/14/17",50096,"time14:00",0.00106675183647397
"9/14/17",50096,"time15:00",0.000993292877674864
"9/14/17",50096,"time16:00",0.000699457042478441
"9/14/17",50096,"time17:00",0.000894282976684765
"9/14/17",50096,"time18:00",0.000808048546790163
"9/14/17",50096,"time19:00",0.000287448099648675
"9/14/17",50096,"time20:00",0.000233152347492814
"9/14/17",50096,"time21:00",0.000150111785372086
"9/14/17",50096,"time22:00",0.000140530182050463
"9/14/17",50096,"time23:00",8.94282976684765e-05
"9/15/17",50096,"time00:00",9.26221654423507e-05
"9/15/17",50096,"time01:00",8.62344298946024e-05
"9/15/17",50096,"time02:00",8.94282976684765e-05
"9/15/17",50096,"time03:00",9.58160332162248e-05
"9/15/17",50096,"time04:00",9.26221654423507e-05
"9/15/17",50096,"time05:00",8.30405621207282e-05
"9/15/17",50096,"time06:00",0.000210795273075695
"9/15/17",50096,"time07:00",0.000341743851804535
"9/15/17",50096,"time08:00",0.000258703289683807
"9/15/17",50096,"time09:00",0.000293835835196423
"9/15/17",50096,"time10:00",0.000440753752794634
"9/15/17",50096,"time11:00",0.000597253273714468
"9/15/17",50096,"time12:00",0.00087511977004152
"9/15/17",50096,"time13:00",0.000958160332162248
"9/15/17",50096,"time14:00",0.000849568827850527
"9/15/17",50096,"time15:00",0.000766528265729799
"9/15/17",50096,"time16:00",0.000785691472373044
"9/15/17",50096,"time17:00",0.000440753752794634
"9/15/17",50096,"time18:00",0.00030661130629192
"9/15/17",50096,"time19:00",0.000178856595336953
"9/15/17",50096,"time20:00",0.00022995847971894
"9/15/17",50096,"time21:00",0.000162887256467582
"9/15/17",50096,"time22:00",0.00011497923985947
"9/15/17",50096,"time23:00",8.94282976684765e-05
"9/16/17",50096,"time00:00",0.000102203768763973
"9/16/17",50096,"time01:00",8.62344298946024e-05
"9/16/17",50096,"time02:00",8.62344298946024e-05
"9/16/17",50096,"time03:00",8.62344298946024e-05
