Date,Time,Electricity.Facility.J.,kWh,Day,Month,Season
0006-01-17,2:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-17,3:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-17,4:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-17,5:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-17,6:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-17,7:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-17,8:00,107592060.2,29.88668339,Tuesday,1,Winter
0006-01-17,9:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-17,10:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-17,11:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-17,12:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-17,13:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-17,14:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-17,15:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-17,16:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-17,17:00,158155500.2,43.93208339,Tuesday,1,Winter
0006-01-17,18:00,107592060.2,29.88668339,Tuesday,1,Winter
0006-01-17,19:00,107592060.2,29.88668339,Tuesday,1,Winter
0006-01-17,20:00,107592060.2,29.88668339,Tuesday,1,Winter
0006-01-17,21:00,107592060.2,29.88668339,Tuesday,1,Winter
0006-01-17,22:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-17,23:00,44880393.89,12.46677608,Tuesday,1,Winter
